id; nazwa; sezon_rozgrywek; gole_strzelone_w_domu; gole_strzelone_na_wyjezdzie; gole_stracone_w_domu; gole_stracone_na_wyjezdzie; zolte_kartki; czerwone_kartki; mecze_domowe; mecze_na_wyjezdzie; srednia_goli_straconych_w_domu; srednia_goli_strzelonych_w_domu; srednia_goli_straconych_na_wyjezdzie; srednia_goli_strzelonych_na_wyjezdzie; wygrane_w_domu; wygrane_na_wyjezdzie; przegrane_w_domu; przegrane_na_wyjezdzie; remisy_w_domu; remisy_na_wyjezdzie; liga
494; Udinese; 2023; 18.0; 12.0; 18.0; 23.0; 80.0; 5.0; 16.0; 16.0; 1.6; 18.0; 1.4; 0.8; 1.0; 3.0; 6.0; 6.0; 9.0; 7.0; wloska
492; Napoli; 2023; 22.0; 28.0; 22.0; 18.0; 70.0; 5.0; 16.0; 17.0; 1.4; 22.0; 1.1; 1.6; 6.0; 7.0; 5.0; 5.0; 5.0; 5.0; wloska
490; Cagliari; 2023; 25.0; 11.0; 25.0; 28.0; 64.0; 3.0; 17.0; 16.0; 1.6; 25.0; 1.8; 0.7; 6.0; 1.0; 5.0; 10.0; 6.0; 5.0; wloska
489; AC Milan; 2023; 26.0; 37.0; 26.0; 29.0; 72.0; 6.0; 15.0; 17.0; 0.5; 26.0; 1.7; 2.2; 11.0; 10.0; 2.0; 3.0; 2.0; 4.0; wloska
488; Sassuolo; 2023; 22.0; 17.0; 22.0; 33.0; 63.0; 3.0; 17.0; 16.0; 1.9; 22.0; 2.1; 1.1; 4.0; 2.0; 8.0; 11.0; 5.0; 3.0; wloska
487; Lazio; 2023; 19.0; 23.0; 19.0; 22.0; 82.0; 5.0; 16.0; 17.0; 0.8; 19.0; 1.3; 1.4; 8.0; 8.0; 5.0; 8.0; 3.0; 1.0; wloska
798; Mallorca; 2023; 14.0; 11.0; 14.0; 23.0; 86.0; 2.0; 16.0; 15.0; 0.8; 14.0; 1.5; 0.7; 5.0; 1.0; 4.0; 8.0; 7.0; 6.0; hiszpanska
728; Rayo Vallecano; 2023; 16.0; 11.0; 16.0; 16.0; 91.0; 4.0; 16.0; 16.0; 1.4; 16.0; 1.0; 0.7; 3.0; 4.0; 5.0; 7.0; 8.0; 5.0; hiszpanska
727; Osasuna; 2023; 17.0; 20.0; 17.0; 24.0; 63.0; 4.0; 16.0; 16.0; 1.4; 17.0; 1.5; 1.3; 6.0; 5.0; 7.0; 8.0; 3.0; 3.0; hiszpanska
724; Cadiz; 2023; 14.0; 8.0; 14.0; 27.0; 90.0; 6.0; 16.0; 16.0; 1.1; 14.0; 1.7; 0.5; 4.0; 0.0; 5.0; 10.0; 7.0; 6.0; hiszpanska
723; Almeria; 2023; 14.0; 16.0; 14.0; 34.0; 73.0; 3.0; 15.0; 16.0; 1.9; 14.0; 2.1; 1.0; 0.0; 1.0; 7.0; 12.0; 8.0; 3.0; hiszpanska
715; Granada CF; 2023; 20.0; 13.0; 20.0; 35.0; 78.0; 3.0; 16.0; 16.0; 1.6; 20.0; 2.2; 0.8; 3.0; 0.0; 7.0; 13.0; 6.0; 3.0; hiszpanska
548; Real Sociedad; 2023; 23.0; 23.0; 23.0; 17.0; 81.0; 2.0; 15.0; 17.0; 1.1; 23.0; 1.0; 1.4; 6.0; 7.0; 3.0; 4.0; 6.0; 6.0; hiszpanska
547; Girona; 2023; 42.0; 25.0; 42.0; 23.0; 64.0; 1.0; 16.0; 16.0; 1.1; 42.0; 1.4; 1.6; 13.0; 8.0; 1.0; 5.0; 2.0; 3.0; hiszpanska
546; Getafe; 2023; 19.0; 19.0; 19.0; 29.0; 113.0; 7.0; 16.0; 16.0; 0.9; 19.0; 1.8; 1.2; 8.0; 1.0; 3.0; 7.0; 5.0; 8.0; hiszpanska
543; Real Betis; 2023; 23.0; 17.0; 23.0; 24.0; 77.0; 3.0; 16.0; 16.0; 0.9; 23.0; 1.5; 1.1; 8.0; 4.0; 2.0; 6.0; 6.0; 6.0; hiszpanska
542; Alaves; 2023; 15.0; 11.0; 15.0; 21.0; 63.0; 1.0; 15.0; 16.0; 1.1; 15.0; 1.3; 0.7; 6.0; 2.0; 6.0; 9.0; 3.0; 5.0; hiszpanska
541; Real Madrid; 2023; 37.0; 30.0; 37.0; 13.0; 57.0; 4.0; 15.0; 16.0; 0.5; 37.0; 0.8; 1.9; 13.0; 11.0; 0.0; 1.0; 2.0; 4.0; hiszpanska
538; Celta Vigo; 2023; 14.0; 23.0; 14.0; 29.0; 53.0; 4.0; 16.0; 16.0; 1.1; 14.0; 1.8; 1.4; 4.0; 3.0; 7.0; 8.0; 5.0; 5.0; hiszpanska
536; Sevilla; 2023; 21.0; 18.0; 21.0; 21.0; 85.0; 4.0; 15.0; 16.0; 1.5; 21.0; 1.3; 1.1; 4.0; 4.0; 6.0; 7.0; 5.0; 5.0; hiszpanska
534; Las Palmas; 2023; 17.0; 13.0; 17.0; 24.0; 71.0; 4.0; 16.0; 16.0; 0.9; 17.0; 1.5; 0.8; 6.0; 4.0; 6.0; 9.0; 4.0; 3.0; hiszpanska
533; Villarreal; 2023; 26.0; 23.0; 26.0; 28.0; 90.0; 5.0; 16.0; 15.0; 1.6; 26.0; 1.9; 1.5; 5.0; 5.0; 7.0; 5.0; 4.0; 5.0; hiszpanska
