id_zawodnika; imie; nazwisko; id_druzyny; sezon_rozgrywek; wiek; wzrost; waga; kraj;wystepy; minuty; pozycja; rating; strzaly; strzaly_celne; gole;podania; dokladnosc_podan; podania_kluczowe; asysty; pojedynki; pojedynki_wygrane;proby_przechwytu; przechwyty_udane, dryblingi; dryblingi_wygrane; faule_na_zawodniku;faule_popelnione; kartki_zolte; kartki_czerwone; czy_kontuzjowany
277; Moussa; Diaby; 66; 2023; 25.0; 170.0; 68.0; France; 33.0; 1787.0; Attacker; 6.965625; 31.0; 18.0; 5.0; 473.0; 12.0; 39.0; 7.0; 147.0; 49.0; 11.0; 6.0; 57.0; 25.0; 11.0; 15.0; 1.0; 0.0; false
19366; Oliver George Arthur; Watkins; 66; 2023; 29.0; 180.0; 70.0; England; 32.0; 2799.0; Attacker; 7.39375; 76.0; 43.0; 19.0; 506.0; 12.0; 41.0; 10.0; 276.0; 107.0; 11.0; 4.0; 45.0; 20.0; 36.0; 20.0; 4.0; 0.0; false
329347; Omari Jamian; Kellyman; 66; 2023; 19.0; 0.0; 0.0; England; 1.0; 13.0; Midfielder; 6.3; 0.0; 0.0; 0.0; 4.0; 3.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
284500; Timothy Emeka; Iroegbunam; 66; 2023; 21.0; 183.0; 0.0; England; 7.0; 120.0; Midfielder; 6.45; 0.0; 0.0; 0.0; 41.0; 5.0; 0.0; 0.0; 26.0; 13.0; 7.0; 2.0; 5.0; 3.0; 2.0; 5.0; 0.0; 0.0; false
19192; Jacob Matthew; Ramsey; 66; 2023; 23.0; 180.0; 0.0; England; 16.0; 848.0; Midfielder; 6.826666; 15.0; 5.0; 1.0; 310.0; 16.0; 11.0; 1.0; 93.0; 41.0; 16.0; 3.0; 19.0; 8.0; 12.0; 7.0; 2.0; 0.0; false
1904; Boubacar Bernard; Kamara; 66; 2023; 25.0; 184.0; 68.0; France; 20.0; 1662.0; Midfielder; 6.955; 4.0; 1.0; 0.0; 1024.0; 45.0; 20.0; 1.0; 213.0; 105.0; 43.0; 21.0; 26.0; 14.0; 29.0; 35.0; 7.0; 1.0; false
786; Nicolò; Zaniolo; 66; 2023; 25.0; 190.0; 79.0; Italy; 24.0; 817.0; Midfielder; 6.529166; 16.0; 9.0; 2.0; 204.0; 6.0; 9.0; 0.0; 172.0; 60.0; 19.0; 1.0; 43.0; 13.0; 21.0; 24.0; 7.0; 0.0; false
983; Leon Patrick; Bailey Butler; 66; 2023; 27.0; 178.0; 77.0; Jamaica; 31.0; 1734.0; Midfielder; 7.12258; 34.0; 16.0; 9.0; 604.0; 15.0; 43.0; 8.0; 225.0; 92.0; 10.0; 8.0; 90.0; 48.0; 21.0; 22.0; 4.0; 0.0; false
2926; Youri Marion A.; Tielemans; 66; 2023; 27.0; 176.0; 72.0; Belgium; 29.0; 1437.0; Midfielder; 6.934482; 8.0; 5.0; 1.0; 807.0; 23.0; 18.0; 6.0; 165.0; 85.0; 36.0; 13.0; 22.0; 13.0; 25.0; 21.0; 3.0; 0.0; false
19191; John; McGinn; 66; 2023; 30.0; 178.0; 68.0; Scotland; 30.0; 2563.0; Midfielder; 7.09; 27.0; 16.0; 6.0; 994.0; 27.0; 42.0; 4.0; 334.0; 165.0; 51.0; 21.0; 74.0; 49.0; 56.0; 36.0; 7.0; 1.0; false
47522; Douglas Luiz; Soares de Paulo; 66; 2023; 26.0; 175.0; 66.0; Brazil; 31.0; 2668.0; Midfielder; 7.393548; 27.0; 17.0; 9.0; 1814.0; 52.0; 50.0; 5.0; 266.0; 138.0; 55.0; 19.0; 37.0; 23.0; 37.0; 45.0; 10.0; 0.0; false
133; Clément Nicolas Laurent; Lenglet; 66; 2023; 29.0; 186.0; 81.0; France; 13.0; 1066.0; Defender; 6.838461; 5.0; 2.0; 0.0; 843.0; 58.0; 2.0; 1.0; 64.0; 41.0; 13.0; 6.0; 5.0; 3.0; 10.0; 3.0; 2.0; 0.0; false
47547; Alexandre; Moreno Lopera; 66; 2023; 31.0; 179.0; 68.0; Spain; 20.0; 1028.0; Defender; 6.752631; 7.0; 4.0; 2.0; 406.0; 16.0; 11.0; 0.0; 102.0; 53.0; 18.0; 13.0; 32.0; 15.0; 16.0; 11.0; 2.0; 0.0; false
19016; Calum; Chambers; 66; 2023; 29.0; 182.0; 66.0; England; 2.0; 70.0; Defender; 6.5; 0.0; 0.0; 0.0; 55.0; 25.0; 0.0; 0.0; 3.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.0; false
